id,topic1_id,topic1_score,topic2_id,topic2_score,topic3_id,topic3_score,topic4_id,topic4_score,topic5_id,topic5_score,topic6_id,topic6_score,topic7_id,topic7_score,topic8_id,topic8_score,topic9_id,topic9_score,topic10_id,topic10_score
id34b2d4037,11177,0.8517000079154968,10044,0.03491683304309845,11445,0.028772026300430298,12236,0.011583439074456692,11162,0.005943057592958212,11419,0.005608531646430492,12748,0.004060732666403055,11324,0.0035873656161129475,10303,0.0035098434891551733,10407,0.003043875563889742
ic692bf67f4,10512,0.34127405285835266,10562,0.09388008713722229,11293,0.09298141300678253,10658,0.06848510354757309,11023,0.052609849721193314,10442,0.042338524013757706,10105,0.03720971569418907,11068,0.024083858355879784,10630,0.008527914062142372,10059,0.008320166729390621
i9980a37d35,11361,0.9883859157562256,10862,0.005722313653677702,10556,0.0006066277856007218,12994,0.00048438156954944134,10844,0.00036437378730624914,10358,0.0003247502609156072,12386,0.0002879768726415932,11258,0.000240948487771675,11134,0.00020087219309061766,11044,0.00018611476116348058
icb5cdf7443,11502,0.9640907049179077,10567,0.020472785457968712,10963,0.002416853327304125,10720,0.0014955520164221525,12709,0.0011823222739621997,10100,0.0008223580080084503,10996,0.0006986093940213323,12401,0.0006594605511054397,11596,0.0006297809304669499,10848,0.00037266628351062536
i6f73a8e4b4,12137,0.25465381145477295,11031,0.16717049479484558,11182,0.05277930945158005,13825,0.030902735888957977,10991,0.02854568138718605,10646,0.0262604970484972,11270,0.021727100014686584,13387,0.02170673944056034,13370,0.020943084731698036,10785,0.01791737973690033
ieb0f780401,11374,0.9865314364433289,12900,0.00256776693277061,11679,0.0017899373779073358,10359,0.0017402787925675511,10599,0.0012110813986510038,11260,0.0007668148027732968,11812,0.0004635989898815751,10861,0.000347791297826916,10176,0.00033118121791630983,11866,0.00030447583412751555
i6268d8793d,11263,0.15905088186264038,13126,0.07398457825183868,11222,0.07135862112045288,10739,0.04028329998254776,13121,0.0391264371573925,12169,0.03220703452825546,12898,0.029745250940322876,13116,0.025575505569577217,12661,0.022235967218875885,12899,0.015451977029442787
i9cd9ba524d,10675,0.3903714120388031,10549,0.22844114899635315,10300,0.11936841160058975,12272,0.04719894379377365,11184,0.01793273165822029,11260,0.017878718674182892,10322,0.01028232742100954,11189,0.010127076879143715,11055,0.00980329979211092,12094,0.008730493485927582
ibd9cea481b,10824,0.8767796754837036,11605,0.05568971857428551,10627,0.023220796138048172,11439,0.013972949236631393,10286,0.0018562814220786095,13062,0.0015409702900797129,11714,0.00142974266782403,10052,0.0011479533277451992,12650,0.0010581337846815586,12292,0.000920120335649699
i690b355877,10087,0.30105912685394287,12718,0.2545667290687561,13621,0.12977133691310883,14339,0.036026716232299805,12532,0.035369742661714554,13256,0.031147733330726624,10992,0.028396382927894592,10421,0.016930466517806053,13409,0.013416392728686333,13714,0.011005837470293045
ie7cd0aaa08,11339,0.3863264322280884,11399,0.09952948242425919,10157,0.04934195056557655,10882,0.03434919938445091,10169,0.029279226437211037,13354,0.02777290530502796,10441,0.024861615151166916,11178,0.021331116557121277,11457,0.013531561009585857,12604,0.011484405025839806
ia79596b034,12210,0.41519400477409363,10213,0.053183916956186295,10119,0.022594349458813667,10443,0.020424699410796165,13057,0.015206324867904186,11810,0.013863524422049522,14279,0.012087778188288212,12221,0.008452861569821835,14112,0.007327598985284567,14467,0.006514648906886578
i9bb5de20df,11789,0.27702245116233826,10987,0.06503227353096008,13826,0.0521233044564724,12949,0.03473839908838272,11862,0.029223304241895676,11432,0.02704487554728985,10149,0.021176589652895927,13956,0.017705636098980904,11544,0.016801275312900543,14473,0.012930386699736118
i1b98b93ea1,10209,0.6178796887397766,11731,0.02621673420071602,12666,0.023099742829799652,10453,0.023048074916005135,13332,0.01846497878432274,10149,0.017476271837949753,13946,0.013134426437318325,14473,0.011282496154308319,12990,0.008858684450387955,12635,0.007443604059517384
i8e1e8fddfd,11264,0.9789532423019409,13069,0.005648886319249868,12431,0.0012372230412438512,11745,0.0010132291354238987,12113,0.0008863545954227448,12795,0.00046697360812686384,14365,0.0003513286355882883,12870,0.00035024172393605113,12436,0.0003366181917954236,12310,0.00032651974470354617
ic973dbe1a9,13490,0.7451231479644775,12635,0.03507881611585617,14395,0.01921387016773224,12467,0.017409978434443474,13215,0.014965275302529335,13256,0.011011186987161636,14334,0.004184739198535681,13132,0.0034701970871537924,11695,0.0031425708439201117,12160,0.0031203445978462696
i5c9e53d2c9,10389,0.252212256193161,13171,0.06818000227212906,10501,0.06721943616867065,12044,0.03976346552371979,10343,0.039367880672216415,13265,0.03763522952795029,10405,0.03550552576780319,12570,0.031982578337192535,12416,0.03055785968899727,12358,0.021397290751338005
i70c1c45f20,10453,0.21021172404289246,11712,0.06439442187547684,10209,0.02601546235382557,10786,0.025925632566213608,13594,0.025330910459160805,12679,0.017893163487315178,12681,0.013691382482647896,14509,0.01244087889790535,14514,0.01179549191147089,12194,0.01176160853356123
i2af17fefc4,11189,0.7021650671958923,12900,0.0662408396601677,10373,0.0392601378262043,11112,0.035516202449798584,10999,0.009914232417941093,13533,0.009858017787337303,12654,0.008789267390966415,13434,0.0033224294893443584,11163,0.0032556301448494196,11834,0.002634322037920356
i06b909090e,12652,0.21824274957180023,12414,0.15203896164894104,10341,0.03310279920697212,12432,0.017270317301154137,12806,0.016276894137263298,12985,0.015888018533587456,10119,0.015210311859846115,13758,0.013589410111308098,13756,0.01251182984560728,12629,0.010783808305859566
i31f3b58c3c,10283,0.4327731430530548,11285,0.401174932718277,10730,0.0797029659152031,10103,0.028516782447695732,12207,0.00941896066069603,10465,0.0041871508583426476,12684,0.0036017613019794226,10403,0.0029428331181406975,10788,0.002746414393186569,10918,0.0025276627857238054
ia750fd4c54,11531,0.9289449453353882,10209,0.023511644452810287,10391,0.0023129465989768505,11590,0.002288621850311756,11712,0.0017553246580064297,11556,0.0015915321419015527,10987,0.0014749589608982205,14334,0.0012217785697430372,12781,0.0009970549726858735,13633,0.000958555203396827
i77093fed7c,10416,0.7059655785560608,10706,0.10998323559761047,10510,0.018073372542858124,11097,0.012805494479835033,11467,0.007583065889775753,10009,0.007230659015476704,10629,0.0069629172794520855,11274,0.005523820873349905,13796,0.004011127632111311,12947,0.0037432757671922445
i794befc51d,10476,0.9853014349937439,11407,0.0010330365039408207,11663,0.0008859428344294429,10864,0.0007551725720986724,11190,0.0007202794658951461,10032,0.0005828174762427807,10236,0.0005470819887705147,12236,0.0005120382411405444,13391,0.00043753450154326856,13362,0.00036263270885683596
i19d60fb662,12486,0.09797091037034988,11552,0.09040872007608414,11066,0.05035022273659706,10119,0.0494343638420105,12583,0.0320463627576828,12033,0.025383949279785156,12185,0.02511691115796566,11573,0.017197823151946068,13438,0.016314202919602394,12816,0.015312175266444683
i51757d2a93,10757,0.7689537405967712,10111,0.07777193188667297,10226,0.021406952291727066,10799,0.007812186144292355,11164,0.0047722249291837215,10689,0.004237511660903692,13058,0.004237103741616011,12698,0.003957800101488829,13282,0.003394216299057007,13394,0.0030601408798247576
ie46be35177,10123,0.8104894757270813,10492,0.018029091879725456,11914,0.014292768202722073,11841,0.011074896901845932,10583,0.008858928456902504,11369,0.007725793868303299,11845,0.005196804646402597,12996,0.0047678533010184765,10120,0.004286212846636772,14135,0.003611698281019926
i2975268ec6,12981,0.4525361955165863,11657,0.08568521589040756,13342,0.05034215748310089,12650,0.02895732782781124,12364,0.023731106892228127,11462,0.022426500916481018,12444,0.016916807740926743,14380,0.01208193227648735,13996,0.010993666015565395,12819,0.009485443122684956
